x_i  v1_num  v1_ana  v2_num  v2_ana  v3_num  v3_ana
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.000000000000e-01 1.381966011167e-01 1.381966011250e-01 2.628655560590e-01 2.628655560596e-01 -3.618033988793e-01 -3.618033988750e-01
2.000000000000e-01 2.628655560498e-01 2.628655560596e-01 4.253254041757e-01 4.253254041760e-01 -4.253254041818e-01 -4.253254041760e-01
3.000000000000e-01 3.618033988718e-01 3.618033988750e-01 4.253254041763e-01 4.253254041760e-01 -1.381966011329e-01 -1.381966011250e-01
4.000000000000e-01 4.253254041821e-01 4.253254041760e-01 2.628655560598e-01 2.628655560596e-01 2.628655560486e-01 2.628655560596e-01
5.000000000000e-01 4.472135955102e-01 4.472135955000e-01 -3.705763486348e-14 5.476786982642e-17 4.472135954898e-01 4.472135955000e-01
6.000000000000e-01 4.253254041821e-01 4.253254041760e-01 -2.628655560594e-01 -2.628655560596e-01 2.628655560508e-01 2.628655560596e-01
7.000000000000e-01 3.618033988718e-01 3.618033988750e-01 -4.253254041758e-01 -4.253254041760e-01 -1.381966011335e-01 -1.381966011250e-01
8.000000000000e-01 2.628655560498e-01 2.628655560596e-01 -4.253254041763e-01 -4.253254041760e-01 -4.253254041824e-01 -4.253254041760e-01
9.000000000000e-01 1.381966011167e-01 1.381966011250e-01 -2.628655560602e-01 -2.628655560596e-01 -3.618033988770e-01 -3.618033988750e-01
1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
